Lunation,New Moon,,Full Moon,
1263,29 Jan 2025,12:35,12 Feb 2025,13:53
1264,28 Feb 2025,00:44,14 Mar 2025,06:54
1265,29 Mar 2025,10:57,13 Apr 2025,00:22
1266,27 Apr 2025,19:31,12 May 2025,16:55
1267,27 May 2025,03:02,11 Jun 2025,07:43
1268,25 Jun 2025,10:31,10 Jul 2025,20:36
1269,24 Jul 2025,19:11,9 Aug 2025,07:55
1270,23 Aug 2025,06:06,7 Sep 2025,18:08
1271,21 Sep 2025,19:54,7 Oct 2025,03:47
1272,21 Oct 2025,12:25,5 Nov 2025,13:19
1273,20 Nov 2025,06:47,4 Dec 2025,23:14
1274,20 Dec 2025,01:43,3 Jan 2026,10:02
1275,18 Jan 2026,19:52,1 Feb 2026,22:09
1276,17 Feb 2026,12:01,3 Mar 2026,11:37
1277,19 Mar 2026,01:23,2 Apr 2026,02:11
1278,17 Apr 2026,11:51,1 May 2026,17:23
1279,16 May 2026,20:01,31 May 2026,08:45
1280,15 Jun 2026,02:54,29 Jun 2026,23:56
1281,14 Jul 2026,09:43,29 Jul 2026,14:35
1282,12 Aug 2026,17:36,28 Aug 2026,04:18
1283,11 Sep 2026,03:27,26 Sep 2026,16:49
1284,10 Oct 2026,15:50,26 Oct 2026,04:11
1285,9 Nov 2026,07:02,24 Nov 2026,14:53
1286,9 Dec 2026,00:51,24 Dec 2026,01:28
